City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
2,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
5,Rikitea,PF,76.1,few clouds,-23.1203,-134.9692,People ThankYou
6,Beloha,MG,75.13,broken clouds,-25.1667,45.05,
7,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
8,Lodwar,KE,83.7,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
9,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Cabo San Lucas,MX,82.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
16,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
19,Eyl,SO,76.03,clear sky,7.9803,49.8164,Amiin Hotel
20,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Karmala,IN,76.42,overcast clouds,18.4167,75.2,Hotel Ashutosh And Lodge
35,San Patricio,US,89.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
42,Ixtapa,MX,81.63,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
43,Poum,NC,81.66,overcast clouds,-20.2333,164.0167,Gîte kajeon
45,Itarema,BR,85.39,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
48,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
49,Sao Joao Da Barra,BR,84.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
51,Upington,ZA,88.18,few clouds,-28.4478,21.2561,River Place Manor
52,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
54,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Ferkessedougou,CI,82.72,overcast clouds,9.6,-5.2,Hotel Chateau
68,Kingsland,US,80.73,overcast clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
72,Bodden Town,KY,84.2,scattered clouds,19.2833,-81.25,Will T Place
73,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
74,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
78,Vallenar,CL,77.45,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
79,Kapoeta,SS,88.43,clear sky,4.7717,33.5903,Eastgate Hotel
81,Iracoubo,GF,78.24,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
85,Faanui,PF,81.43,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,Owando,CG,75.78,light rain,-0.4819,15.8999,Exaunel Hotel Owando
95,Dingle,PH,76.15,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
102,East London,ZA,76.14,thunderstorm,-33.0153,27.9116,Tu Casa
104,Bandarbeyla,SO,76.71,clear sky,9.4942,50.8122,JABIR HOTEL
108,Ankpa,NG,79.3,broken clouds,7.3706,7.6253,AA Suites
111,Castro,BR,77.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
116,Praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
124,Lamu,KE,82.62,clear sky,-2.2717,40.902,Lamu House
126,Finschhafen,PG,80.26,broken clouds,-6.6024,147.8681,Cossam Guest House
128,Villa Maria,AR,82.44,scattered clouds,-32.4075,-63.2402,Hotel Milenium
133,Hilo,US,75.61,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
136,Graaff-Reinet,ZA,78.93,light rain,-32.2522,24.5308,Rietjiesbos B&B
141,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
142,Joao Neiva,BR,81.41,broken clouds,-19.7575,-40.3856,Cabanha Santa Cypriana_Felicidade nas coisas simples!
147,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
148,Kavieng,PG,82.36,moderate rain,-2.5744,150.7967,Nusa Island Retreat
153,Lorengau,PG,83.21,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
154,Puerto Colombia,CO,86.09,few clouds,10.9878,-74.9547,Hotel El Emigrante
157,Atuona,PF,78.1,clear sky,-9.8,-139.0333,Villa Enata
162,Robertsport,LR,81.5,light rain,6.7533,-11.3686,Kwepunha Retreat
168,Phuket,TH,75.42,few clouds,8.0,98.25,The Surin
172,Sri Aman,MY,77.09,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
173,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
183,Campos Altos,BR,81.39,few clouds,-19.6961,-46.1714,Hotel São José
186,Bireun,ID,78.31,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
190,Madruga,CU,83.34,clear sky,22.9114,-81.8561,
192,Biak,ID,77.49,overcast clouds,-0.9131,122.8766,Penginapan Kim
195,Katherine,AU,79.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
197,Richards Bay,ZA,75.97,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
199,Eha Amufu,NG,81.95,overcast clouds,6.6592,7.7596,Eden Resort
206,Cockburn Town,TC,75.16,light intensity drizzle,21.4612,-71.1419,Osprey Beach Hotel
208,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
209,Agua Verde,MX,78.13,overcast clouds,22.9,-106.05,
211,Bousso,TD,81.14,clear sky,10.4795,16.7117,
215,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
216,Trincomalee,LK,81.14,broken clouds,8.5711,81.2335,Welcombe Hotel
225,Hithadhoo,MV,81.21,moderate rain,-0.6,73.0833,Scoop Guest House
226,Tecoanapa,MX,84.81,scattered clouds,16.5167,-98.75,Hotel Manglares
227,Porto Walter,BR,76.93,light rain,-8.2686,-72.7439,Secretaria de saúde
231,Vanimo,PG,79.45,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
234,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
240,Afua,BR,85.37,light rain,-0.1567,-50.3867,Hotel Dias
241,Ziniare,BF,82.44,overcast clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
245,Harper,LR,80.76,scattered clouds,4.375,-7.7169,Screensaver
249,Puerto Leguizamo,CO,84.22,overcast clouds,-0.1934,-74.7819,la casona de juancho
250,Rio Das Ostras,BR,80.64,scattered clouds,-22.5269,-41.945,Pousada Girassol
256,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
