City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Description
0,Albany,42.6001,-73.9662,45.09,64,100,1.01,US,2021-12-10 18:40:50,overcast clouds
1,Northam,51.0333,-4.2167,45.61,72,14,18.3,GB,2021-12-10 18:40:27,few clouds
2,Bambous Virieux,-20.3428,57.7575,78.22,78,40,5.75,MU,2021-12-10 18:31:47,scattered clouds
3,Metro,-5.1131,105.3067,73.6,97,100,7.31,ID,2021-12-10 18:41:27,overcast clouds
4,Ponta Do Sol,32.6667,-17.1,66.7,77,26,9.78,PT,2021-12-10 18:40:54,scattered clouds
5,Rikitea,-23.1203,-134.9692,76.1,70,23,17.29,PF,2021-12-10 18:40:49,few clouds
6,Beloha,-25.1667,45.05,75.13,81,52,8.46,MG,2021-12-10 18:36:01,broken clouds
7,Butaritari,3.0707,172.7902,82.11,76,100,13.42,KI,2021-12-10 18:41:04,light rain
8,Lodwar,3.1191,35.5973,83.7,44,65,24.27,KE,2021-12-10 18:41:28,broken clouds
9,Puerto Ayora,-0.7393,-90.3518,76.96,92,96,5.01,EC,2021-12-10 18:37:29,overcast clouds
10,Namibe,-15.1961,12.1522,71.89,68,6,11.43,AO,2021-12-10 18:41:28,clear sky
11,Ushuaia,-54.8,-68.3,55.06,58,40,11.5,AR,2021-12-10 18:40:50,scattered clouds
12,Ribeira Grande,38.5167,-28.7,63.0,88,40,5.75,PT,2021-12-10 18:41:29,scattered clouds
13,Mar Del Plata,-38.0023,-57.5575,69.82,85,75,24.0,AR,2021-12-10 18:36:27,light rain
14,Tiznit,29.5833,-9.5,60.26,38,0,1.88,MA,2021-12-10 18:41:29,clear sky
15,Cabo San Lucas,22.8909,-109.9124,82.51,56,84,4.0,MX,2021-12-10 18:40:50,broken clouds
16,Avarua,-21.2078,-159.775,78.85,83,100,2.3,CK,2021-12-10 18:41:29,overcast clouds
17,Caravelas,-17.7125,-39.2481,73.29,88,100,4.83,BR,2021-12-10 18:38:15,overcast clouds
18,Queimadas,-10.9783,-39.6264,90.09,44,26,10.4,BR,2021-12-10 18:41:30,scattered clouds
19,Eyl,7.9803,49.8164,76.03,71,6,19.73,SO,2021-12-10 18:39:20,clear sky
20,Arraial Do Cabo,-22.9661,-42.0278,80.56,65,20,12.66,BR,2021-12-10 18:40:46,few clouds
21,Tuktoyaktuk,69.4541,-133.0374,-9.4,84,40,0.0,CA,2021-12-10 18:41:03,scattered clouds
22,Hermanus,-34.4187,19.2345,65.89,90,19,11.12,ZA,2021-12-10 18:41:04,few clouds
23,Port Elizabeth,-33.918,25.5701,73.69,83,0,5.75,ZA,2021-12-10 18:41:31,clear sky
24,Saint-Augustin,51.226,-58.6502,18.75,46,0,12.03,CA,2021-12-10 18:35:20,clear sky
25,Barrow,71.2906,-156.7887,-2.18,84,90,5.75,US,2021-12-10 18:40:52,overcast clouds
26,Khorramshahr,30.4397,48.1664,60.76,59,99,6.91,IR,2021-12-10 18:41:32,overcast clouds
27,Cairns,-16.9167,145.7667,74.1,96,69,0.0,AU,2021-12-10 18:38:26,broken clouds
28,Watertown,42.3709,-71.1828,47.34,68,75,1.99,US,2021-12-10 18:41:32,broken clouds
29,Cape Town,-33.9258,18.4232,70.09,74,75,5.01,ZA,2021-12-10 18:37:50,broken clouds
30,Karmala,18.4167,75.2,76.42,48,100,5.61,IN,2021-12-10 18:41:32,overcast clouds
31,Srednekolymsk,67.45,153.6833,-48.87,100,66,2.57,RU,2021-12-10 18:41:33,broken clouds
32,Punta Arenas,-53.15,-70.9167,60.82,51,0,13.8,CL,2021-12-10 18:37:24,clear sky
33,Clyde River,70.4692,-68.5914,-9.17,84,20,3.44,CA,2021-12-10 18:36:44,few clouds
34,Esperance,-33.8667,121.9,58.84,81,2,13.02,AU,2021-12-10 18:41:33,clear sky
35,San Patricio,28.017,-97.5169,89.69,53,5,23.62,US,2021-12-10 18:41:34,clear sky
36,Udachnyy,66.4167,112.4,-12.95,95,100,15.59,RU,2021-12-10 18:41:34,overcast clouds
37,Port Alfred,-33.5906,26.891,73.92,86,45,10.31,ZA,2021-12-10 18:40:55,scattered clouds
38,Upernavik,72.7868,-56.1549,0.73,85,94,7.05,GL,2021-12-10 18:40:51,overcast clouds
39,Nikolskoye,59.7035,30.7861,13.8,81,100,10.89,RU,2021-12-10 18:41:34,overcast clouds
40,Qaanaaq,77.484,-69.3632,-1.17,76,81,6.64,GL,2021-12-10 18:41:35,broken clouds
41,Wuwei,37.9281,102.6414,27.18,58,100,0.94,CN,2021-12-10 18:41:35,overcast clouds
42,Ixtapa,20.7,-105.2,81.63,42,40,2.3,MX,2021-12-10 18:41:35,scattered clouds
43,Poum,-20.2333,164.0167,81.66,78,100,13.62,NC,2021-12-10 18:37:58,overcast clouds
44,Abha,18.2164,42.5053,55.22,14,0,6.91,SA,2021-12-10 18:39:19,clear sky
45,Itarema,-2.9248,-39.9167,85.39,61,45,14.43,BR,2021-12-10 18:32:09,scattered clouds
46,Yellowknife,62.456,-114.3525,-3.71,83,20,3.44,CA,2021-12-10 18:37:47,few clouds
47,Saskylakh,71.9167,114.0833,-11.18,97,100,8.86,RU,2021-12-10 18:37:13,overcast clouds
48,Saint-Philippe,-21.3585,55.7679,78.39,75,77,11.72,RE,2021-12-10 18:37:11,broken clouds
49,Sao Joao Da Barra,-21.6403,-41.0511,84.29,76,20,11.74,BR,2021-12-10 18:38:05,few clouds
50,Bar Harbor,44.3876,-68.2039,39.02,81,90,4.61,US,2021-12-10 18:41:05,mist
51,Upington,-28.4478,21.2561,88.18,19,20,5.75,ZA,2021-12-10 18:41:42,few clouds
52,Georgetown,5.4112,100.3354,79.9,86,20,1.99,MY,2021-12-10 18:39:09,few clouds
53,Flinders,-34.5833,150.8552,60.21,78,100,17.43,AU,2021-12-10 18:41:43,overcast clouds
54,Kapaa,22.0752,-159.319,75.18,80,90,1.01,US,2021-12-10 18:40:54,light rain
55,Camana,-16.6228,-72.7111,71.56,68,72,8.05,PE,2021-12-10 18:41:43,broken clouds
56,Hobart,-42.8794,147.3294,53.46,85,90,1.99,AU,2021-12-10 18:40:07,overcast clouds
57,Iqaluit,63.7506,-68.5145,2.93,72,40,13.8,CA,2021-12-10 18:41:43,scattered clouds
58,Tasiilaq,65.6145,-37.6368,28.99,87,100,26.93,GL,2021-12-10 18:41:44,overcast clouds
59,Troitsko-Pechorsk,62.7084,56.1964,12.97,89,86,9.4,RU,2021-12-10 18:41:44,overcast clouds
60,Kyra,49.5776,111.9753,7.68,72,100,4.79,RU,2021-12-10 18:41:45,overcast clouds
61,Hasaki,35.7333,140.8333,35.89,72,0,8.84,JP,2021-12-10 18:32:01,clear sky
62,Bluff,-46.6,168.3333,55.8,80,100,9.55,NZ,2021-12-10 18:40:50,overcast clouds
63,Ferkessedougou,9.6,-5.2,82.72,14,95,4.27,CI,2021-12-10 18:41:45,overcast clouds
64,Portland,45.5234,-122.6762,44.62,91,90,1.99,US,2021-12-10 18:39:55,overcast clouds
65,Port Lincoln,-34.7333,135.8667,56.59,83,8,12.21,AU,2021-12-10 18:38:26,clear sky
66,Ekibastuz,51.6667,75.3667,14.49,69,16,7.18,KZ,2021-12-10 18:41:46,few clouds
67,Cradock,-32.1642,25.6192,71.89,60,100,13.13,ZA,2021-12-10 18:41:46,light rain
68,Kingsland,30.8,-81.6898,80.73,79,95,4.16,US,2021-12-10 18:41:46,overcast clouds
