City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Los Llanos De Aridane,28.6585,-17.9182,62.35,83,75,11.99,ES,2021-12-08 18:44:12
1,Mataura,-46.1927,168.8643,52.48,94,96,0.76,NZ,2021-12-08 18:44:12
2,Bluff,-46.6,168.3333,52.81,86,100,3.44,NZ,2021-12-08 18:44:13
3,Marmora,44.4583,7.094,25.93,90,100,6.87,IT,2021-12-08 18:44:13
4,Carnarvon,-24.8667,113.6333,71.67,88,90,13.8,AU,2021-12-08 18:44:13
5,Gustrow,53.7972,12.1734,35.11,86,90,11.5,DE,2021-12-08 18:44:14
6,Udachnyy,66.4167,112.4,-30.71,100,86,5.17,RU,2021-12-08 18:44:14
7,Hithadhoo,-0.6,73.0833,81.86,74,98,10.47,MV,2021-12-08 18:43:56
8,Barrow,71.2906,-156.7887,8.62,72,90,27.63,US,2021-12-08 18:44:15
9,Punta Arenas,-53.15,-70.9167,64.51,20,0,12.66,CL,2021-12-08 18:40:44
10,Rikitea,-23.1203,-134.9692,75.45,68,10,20.45,PF,2021-12-08 18:44:15
11,Albany,42.6001,-73.9662,36.81,77,100,5.32,US,2021-12-08 18:40:39
12,Chifeng,42.2683,118.9636,33.76,40,100,5.26,CN,2021-12-08 18:43:27
13,Ushuaia,-54.8,-68.3,56.86,33,0,0.0,AR,2021-12-08 18:42:04
14,Sinnamary,5.3833,-52.95,80.31,84,100,6.8,GF,2021-12-08 18:44:16
15,Kapaa,22.0752,-159.319,79.12,81,75,1.99,US,2021-12-08 18:40:10
16,Qaanaaq,77.484,-69.3632,9.27,64,15,8.46,GL,2021-12-08 18:44:16
17,Plettenberg Bay,-34.0527,23.3716,65.23,91,65,10.51,ZA,2021-12-08 18:44:16
18,Sena Madureira,-9.0656,-68.6569,85.03,73,100,2.71,BR,2021-12-08 18:44:17
19,Vao,-22.6667,167.4833,78.08,83,22,11.43,NC,2021-12-08 18:44:17
20,Atuona,-9.8,-139.0333,78.22,74,7,17.87,PF,2021-12-08 18:44:17
21,Olafsvik,64.8945,-23.7142,36.91,73,100,25.41,IS,2021-12-08 18:36:03
22,Orimattila,60.8049,25.7296,4.24,97,35,1.16,FI,2021-12-08 18:44:18
23,Hilo,19.7297,-155.09,73.8,43,90,6.91,US,2021-12-08 18:42:12
24,Zaragoza,41.6561,-0.8773,44.46,71,20,11.01,ES,2021-12-08 18:43:40
25,Hermanus,-34.4187,19.2345,64.8,81,85,14.97,ZA,2021-12-08 18:44:18
26,Saskylakh,71.9167,114.0833,-6.45,92,100,8.66,RU,2021-12-08 18:44:19
27,Hasaki,35.7333,140.8333,46.8,77,100,33.02,JP,2021-12-08 18:42:40
28,Mahibadhoo,3.7833,72.9667,81.91,76,100,8.21,MV,2021-12-08 18:44:19
29,Muros,42.7762,-9.0603,52.23,89,100,19.62,ES,2021-12-08 18:44:19
30,Clyde River,70.4692,-68.5914,7.03,78,12,11.5,CA,2021-12-08 18:44:20
31,Butaritari,3.0707,172.7902,82.4,76,100,13.18,KI,2021-12-08 18:44:20
32,Miquelon,47.0975,-56.3814,35.6,66,100,17.76,PM,2021-12-08 18:44:20
33,Vilhena,-12.7406,-60.1458,80.82,78,40,9.22,BR,2021-12-08 18:44:21
34,Hobart,-42.8794,147.3294,48.06,84,75,9.22,AU,2021-12-08 18:44:21
35,Koshurnikovo,54.1667,93.3,-9.54,99,97,3.65,RU,2021-12-08 18:44:21
36,Busselton,-33.65,115.3333,79.05,51,3,9.69,AU,2021-12-08 18:44:22
37,Klaksvik,62.2266,-6.589,41.92,76,100,25.99,FO,2021-12-08 18:44:22
38,Tiksi,71.6872,128.8694,-19.93,96,100,6.87,RU,2021-12-08 18:44:22
39,Victoria,22.2855,114.1577,68.38,80,34,5.99,HK,2021-12-08 18:42:22
40,Cape Town,-33.9258,18.4232,72.01,68,0,3.0,ZA,2021-12-08 18:43:15
41,Saint-Philippe,-21.3585,55.7679,74.79,75,37,11.07,RE,2021-12-08 18:44:23
42,Dunedin,-45.8742,170.5036,56.68,83,99,4.38,NZ,2021-12-08 18:44:23
43,Padang,-0.9492,100.3543,77.05,88,96,3.98,ID,2021-12-08 18:39:44
44,Tuktoyaktuk,69.4541,-133.0374,10.4,92,75,10.36,CA,2021-12-08 18:45:24
45,Paamiut,61.994,-49.6678,21.15,77,100,10.56,GL,2021-12-08 18:45:24
46,Kenitra,34.261,-6.5802,56.84,73,96,8.48,MA,2021-12-08 18:44:04
47,Pisco,-13.7,-76.2167,71.02,73,0,8.05,PE,2021-12-08 18:45:25
48,Atherton,53.5237,-2.4935,45.43,91,100,10.0,GB,2021-12-08 18:45:25
49,Male,4.1748,73.5089,84.15,79,75,6.91,MV,2021-12-08 18:45:25
50,Imbituba,-28.24,-48.6703,75.09,58,18,7.25,BR,2021-12-08 18:45:26
51,East London,-33.0153,27.9116,70.74,94,75,8.05,ZA,2021-12-08 18:45:26
52,Ribeira Grande,38.5167,-28.7,61.2,67,75,6.91,PT,2021-12-08 18:43:57
53,Pasighat,28.0667,95.3333,62.46,67,10,3.42,IN,2021-12-08 18:45:27
54,Puerto Ayora,-0.7393,-90.3518,78.76,76,98,9.82,EC,2021-12-08 18:45:28
55,Matehuala,23.65,-100.65,75.2,21,100,2.84,MX,2021-12-08 18:45:28
56,Farmington,36.7281,-108.2187,45.7,58,75,9.22,US,2021-12-08 18:45:29
57,Chokurdakh,70.6333,147.9167,-47.34,100,97,3.69,RU,2021-12-08 18:45:29
58,Longyearbyen,78.2186,15.6401,26.44,86,75,2.3,SJ,2021-12-08 18:41:08
59,Ilulissat,69.2167,-51.1,3.99,92,100,2.44,GL,2021-12-08 18:41:25
60,Porto Novo,6.4965,2.6036,84.02,76,10,7.36,BJ,2021-12-08 18:45:29
61,Mount Gambier,-37.8333,140.7667,44.51,93,84,8.05,AU,2021-12-08 18:45:30
62,Guerrero Negro,27.9769,-114.0611,67.68,56,100,4.43,MX,2021-12-08 18:45:30
63,Sawakin,19.1059,37.3321,81.48,72,18,12.62,SD,2021-12-08 18:45:30
64,Port Lincoln,-34.7333,135.8667,55.17,65,60,13.6,AU,2021-12-08 18:43:22
65,Roald,62.5833,6.1333,37.09,55,0,14.97,NO,2021-12-08 18:45:31
66,Sampit,-2.5333,112.95,74.59,99,99,1.63,ID,2021-12-08 18:45:31
67,Georgetown,5.4112,100.3354,80.89,78,20,8.01,MY,2021-12-08 18:44:37
68,Kodiak,57.79,-152.4072,35.11,87,90,0.0,US,2021-12-08 18:45:31
69,Alyangula,-13.8483,136.4192,75.07,100,99,1.14,AU,2021-12-08 18:45:32
70,Provideniya,64.3833,-173.3,4.19,93,100,18.48,RU,2021-12-08 18:45:32
71,Torbat-E Jam,35.244,60.6225,45.54,47,1,2.53,IR,2021-12-08 18:45:33
72,Penzance,50.1186,-5.5371,45.77,57,30,30.47,GB,2021-12-08 18:45:33
